0: 0xd00c8000
1: 0xd0008000
2: 1
50: 100
289: 2
290: 1
291: 0
292: 0xFFFFFFFD
293: 0xFFFFFFFE
294: 0xFFFFFFFF
295: 136
296: 120
297: 109
298: 100
299: 0
360: 400
350: 0
400: 6
401: 0
402: 1
700: 0
100: 0xa0578168
101: 0x70578002
102: 0xc04a415e
103: 0xa0af0168
104: 0x5a0124
105: 0x80578168
106: 0x10578005
107: 0xa04c815e
108: 0xd04c8000
109: 0xa0578168
110: 0x578126
111: 0x804c8168
112: 0x104c8003
113: 0xb04c815e
114: 0x104c8001
115: 0xb04c8123
116: 0x104c8001
117: 0xb04c8128
118: 0x105a0003
119: 0xd04a8000
120: 0x80578168
121: 0x10578001
122: 0xb05782bc
123: 0xa0c80168
124: 0xc80125
125: 0x10578002
126: 0xb0578320
127: 0x10578001
128: 0xb0578123
129: 0x10578001
130: 0xb0578127
131: 0x105a0003
132: 0xd04a8000
136: 0x80578168
137: 0x10578001
138: 0xa0c8815e
139: 0xaf0322
140: 0x5a0124
141: 0x80578168
142: 0x10578005
143: 0xa0c8415e
144: 0xd0c84000
